time,flux
3113.3857178663256,3710.4792
3113.387106738273,3702.1816
3113.388495610221,3686.2002
3113.389884482169,3701.7852
3113.3912733536495,3699.677
3113.392662225596,3681.7773
3113.3940510975435,3706.5818
3113.3954399694903,3689.6406
3113.3968288409724,3688.4778
3113.39821771292,3675.0515
3113.399606584867,3701.4817
3113.4009954563485,3687.4709
3113.402384328296,3713.063
3113.4037732002434,3692.4797
3113.4051620717246,3703.0579
3113.4065509436723,3706.3799
3113.4079398151544,3689.5842
3113.409328687101,3708.2722
3113.410717559048,3698.6785
3113.4121064305295,3675.3298
3113.413495302477,3679.6194
3113.414884173958,3698.0754
3113.416273045906,3686.9653
3113.4176619173877,3694.1047
3113.4190507893345,3697.9285
3113.4204396608166,3695.3362
3113.4218285327634,3702.9575
3113.423217404245,3684.2581
3113.4246062757275,3679.8716
3113.4259951476743,3684.7729
3113.427384019156,3689.1785
3113.4287728911036,3717.7307
3113.4301617625842,3699.7756
3113.431550634065,3702.7593
3113.432939506013,3677.9172
3113.434328377495,3676.4832
3113.4357172489763,3696.4685
3113.4371061209235,3702.8245
3113.4384949924056,3712.8562
3113.439883863887,3696.9753
3113.4412727353683,3705.9883
3113.442661607316,3706.9153
3113.444050478798,3694.4658
3113.4454393502792,3719.6309
3113.4468282217613,3683.2458
3113.4482170932424,3715.5583
3113.449605965189,3712.9541
3113.4509948366704,3686.7029
3113.4523837081524,3699.7334
3113.4537725796336,3699.238
3113.4551614511156,3708.2341
3113.4565503225976,3691.6592
3113.457939194079,3689.6379
3113.4593280655604,3686.3474
3113.460716937043,3685.219
3113.462105808524,3706.1899
3113.4634946800056,3688.5107
3113.4648835514877,3699.5696
3113.4662724229693,3693.7839
3113.4676612944504,3702.1226
3113.4690501659315,3690.5513
3113.4704390374127,3678.4292
3113.4718279088943,3698.4812
3113.4732167803763,3689.2515
3113.474605651858,3689.1594
3113.475994523339,3698.5095
3113.477383394821,3698.739
3113.478772266303,3698.1011
3113.480161137785,3698.8435
3113.4815500088007,3697.4663
3113.4829388802827,3677.9895
3113.484327751764,3701.0361
3113.4857166232455,3698.0166
3113.487105494728,3714.1277
3113.488494365743,3678.7463
3113.4898832372237,3710.6106
3113.4912721087057,3699.7991
3113.492660980187,3708.8015
3113.494049851203,3705.1521
3113.495438722685,3688.981
3113.4968275941674,3694.1328
3113.498216465183,3696.0625
